,Duration (in seconds),Gender,Age,Location,Education,Triplet,Complexity,Condition,P(A1),P(A2),P(A3),P(¬A1),P(¬A2),P(¬A3),P(A2|A1),P(A2|¬A1),P(¬A2|A1),P(¬A2|¬A1),P(A1 ∩ A2),P(A1 ∩ ¬A2),P(¬A1 ∩ A2),P(¬A1 ∩ ¬A2),P(A1 ∪ A2),P(A1 ∪ ¬A2),P(¬A1 ∪ A2),P(¬A1 ∪ ¬A2),P(A3|A2),P(A3|¬A2),P(¬A3|A2),P(¬A3|¬A2),P(A2 ∩ A3),P(A2 ∩ ¬A3),P(¬A2 ∩ A3),P(¬A2 ∩ ¬A3),P(A2 ∪ A3),P(A2 ∪ ¬A3),P(¬A2 ∪ A3),P(¬A2 ∪ ¬A3),P(A1|A3),P(A1|¬A3),P(¬A1|A3),P(¬A1|¬A3),P(A3 ∩ A1),P(A3 ∩ ¬A1),P(¬A3 ∩ A1),P(¬A3 ∩ ¬A1),P(A3 ∪ A1),P(A3 ∪ ¬A1),P(¬A3 ∪ A1),P(¬A3 ∪ ¬A1),P(A1|A2),P(¬A1|A2),P(A1|¬A2),P(¬A1|¬A2),P(A2 ∩ A1),P(¬A2 ∩ A1),P(A2 ∩ ¬A1),P(¬A2 ∩ ¬A1),P(A2 ∪ A1),P(¬A2 ∪ A1),P(A2 ∪ ¬A1),P(¬A2 ∪ ¬A1),P(A2|A3),P(¬A2|A3),P(A2|¬A3),P(¬A2|¬A3),P(A3 ∩ A2),P(¬A3 ∩ A2),P(A3 ∩ ¬A2),P(¬A3 ∩ ¬A2),P(A3 ∪ A2),P(¬A3 ∪ A2),P(A3 ∪ ¬A2),P(¬A3 ∪ ¬A2),P(A3|A1),P(¬A3|A1),P(A3|¬A1),P(¬A3|¬A1),P(A1 ∩ A3),P(¬A1 ∩ A3),P(A1 ∩ ¬A3),P(¬A1 ∩ ¬A3),P(A1 ∪ A3),P(¬A1 ∪ A3),P(A1 ∪ ¬A3),P(¬A1 ∪ ¬A3),CRT Score,Pay,A1,A2,A3
0,408,Male,45-54,Pennsylvania,Sophomore (2 years of college),1,High,T1 HC,50,44,50,71,69,72,49,50,50,73,50,50,50,50,31,50,48,87,50,50,72,82,50,50,50,50,4,35,50,100,50,50,50,81,50,50,50,80,35,50,52,100,0,50,50,100,0,50,50,100,0,50,50,100,0,50,50,100,0,50,50,50,0,50,50,100,0,50,50,50,0,50,50,100,0,50,50,100,0,About right,Ohio,Michigan,Missouri
1,521,Male,25-34,Maryland,High School,1,High,T1 HC,31,0,72,80,65,32,39,36,71,95,40,40,35,68,76,69,62,81,88,75,9,35,29,27,79,33,89,38,84,78,75,22,67,74,42,68,24,26,77,70,77,83,81,30,37,64,30,46,21,68,44,74,69,76,28,72,6,91,26,27,76,29,69,72,81,72,75,25,62,40,38,67,30,34,74,76,69,67,3,About right,Ohio,Michigan,Missouri
2,547,Female,25-34,Georgia,Freshman (1 year of college),1,High,T1 HC,52,55,65,47,44,39,59,47,48,50,53,47,51,47,54,49,47,49,57,51,45,45,53,50,51,48,54,48,48,47,58,53,44,51,52,47,48,47,54,48,48,47,55,48,46,54,54,51,48,47,53,47,48,48,55,48,49,47,54,49,49,46,54,47,47,47,54,48,48,47,55,49,49,47,56,46,47,48,0,Fairly generous,Ohio,Michigan,Missouri
3,609,Female,25-34,Oregon,Masters,1,High,T1 HC,60,39,76,50,61,22,36,41,63,77,33,62,38,54,60,64,40,59,81,59,23,32,34,30,75,49,36,39,60,62,87,34,51,50,63,58,59,43,55,51,54,43,63,53,42,54,41,73,45,53,52,59,46,61,45,61,46,83,49,27,64,48,56,37,69,55,68,47,62,46,50,48,34,50,57,58,48,53,0,Fairly generous,Ohio,Michigan,Missouri
4,536,Male,35-44,California,Senior (4 years of college),1,High,T1 HC,80,78,54,59,50,60,85,59,30,54,68,46,50,44,84,50,40,36,65,46,55,56,66,33,52,23,84,41,44,37,69,56,41,50,89,45,37,26,78,38,41,43,94,38,60,14,86,50,38,25,73,24,31,28,87,42,38,31,77,51,52,18,88,38,30,11,91,37,42,36,71,52,51,0,77,34,32,21,0,About right,Ohio,Michigan,Missouri
5,388,Male,25-34,New York,Senior (4 years of college),1,High,T1 HC,31,32,25,82,76,76,41,27,66,76,35,37,62,66,29,62,41,27,25,18,74,78,34,40,40,45,30,38,57,61,20,25,82,76,39,59,34,68,29,72,35,70,28,67,38,74,57,37,74,65,66,63,64,61,37,71,75,82,16,44,42,40,62,65,39,68,32,68,42,71,62,62,64,74,33,38,69,69,0,About right,Ohio,Michigan,Missouri
6,566,Female,35-44,Michigan,High School,1,High,T1 HC,70,46,70,48,55,40,40,40,55,70,47,71,48,41,71,100,46,70,91,80,11,40,45,27,90,19,50,36,100,86,70,61,32,55,90,44,39,36,100,80,80,36,100,8,80,46,46,76,26,46,76,76,43,76,48,77,35,100,56,19,75,24,87,46,100,75,100,19,47,55,100,46,29,6,100,61,46,22,2,About right,Ohio,Michigan,Missouri
7,500,Male,25-34,Washington,High School,1,High,T1 HC,54,50,48,51,54,51,57,47,49,58,47,53,52,53,49,55,51,58,53,44,49,56,47,49,49,54,49,51,53,58,55,47,49,56,45,49,49,53,49,52,49,58,49,52,46,58,46,51,51,55,49,49,49,56,52,49,42,57,47,49,51,51,49,52,51,55,49,51,46,58,48,51,51,51,49,49,50,55,0,About right,Ohio,Michigan,Missouri
8,483,Male,25-34,Missouri,Senior (4 years of college),1,High,T1 HC,69,44,80,61,57,59,60,67,65,69,54,68,63,71,69,68,63,43,27,63,72,41,68,41,74,37,62,66,69,68,68,74,69,68,67,69,54,64,73,56,57,80,64,59,63,77,70,65,66,40,69,42,69,75,79,76,72,77,67,72,43,68,67,65,66,57,77,74,75,64,40,78,66,67,60,62,60,39,0,About right,Ohio,Michigan,Missouri
9,497,Male,35-44,Missouri,Other professional,1,High,T1 HC,50,45,96,50,55,4,50,50,55,50,50,50,50,46,55,50,54,55,100,100,0,0,46,0,50,0,100,46,100,55,50,50,50,50,50,50,0,0,100,100,0,51,50,50,50,50,43,50,46,50,50,55,50,55,47,55,47,55,46,0,55,0,100,0,100,55,100,0,100,0,50,50,0,0,100,100,50,50,3,About right,Ohio,Michigan,Missouri
10,550,Male,55-64,Wisconsin,Sophomore (2 years of college),1,High,T1 HC,20,29,80,80,81,29,61,30,81,83,29,61,30,71,31,71,30,70,31,61,19,29,29,31,82,60,72,30,72,82,30,30,81,72,30,82,30,30,72,71,30,72,19,72,30,81,30,72,30,72,31,82,71,82,30,72,31,81,30,19,82,61,81,30,81,82,82,19,71,81,31,82,31,30,72,87,30,71,2,Fairly generous,Ohio,Michigan,Missouri
11,611,Female,25-34,Nevada,Sophomore (2 years of college),1,High,T1 HC,30,45,40,60,55,60,55,45,60,65,40,55,75,60,35,55,60,65,55,40,70,70,55,60,55,55,45,50,55,60,60,40,65,75,55,55,45,70,45,60,40,60,55,55,35,70,50,55,55,65,45,45,55,70,60,45,40,60,40,45,55,65,55,60,55,65,55,65,45,60,50,40,60,75,55,45,55,70,0,About right,Ohio,Michigan,Missouri
12,577,Male,45-54,California,Freshman (1 year of college),1,High,T1 HC,58,60,84,39,80,80,30,68,86,77,71,93,88,83,80,76,62,7,35,73,57,29,72,65,42,78,67,91,70,33,32,90,71,74,58,80,68,31,80,66,67,79,41,35,63,31,58,24,70,63,76,32,33,26,63,85,70,62,82,62,69,60,50,41,61,35,73,23,73,69,70,37,64,29,44,58,60,45,2,Fairly generous,Ohio,Michigan,Missouri
13,631,Male,25-34,Tennessee,High School,1,High,T1 HC,9,20,85,79,77,16,61,16,43,89,30,50,50,70,60,95,30,71,13,81,19,20,30,13,90,30,70,32,90,61,18,46,81,59,60,91,13,30,91,60,44,31,60,20,61,50,40,81,30,30,65,95,20,90,29,70,10,94,20,10,94,20,87,10,94,70,87,20,95,31,85,40,30,15,94,80,50,50,2,Fairly generous,Ohio,Michigan,Missouri
14,613,Male,35-44,Arizona,Senior (4 years of college),1,High,T1 HC,57,54,59,51,52,51,55,46,46,53,53,51,53,51,53,52,53,54,55,50,47,54,51,50,53,52,54,50,53,51,55,47,47,56,52,51,51,53,53,52,52,53,53,50,50,53,53,50,50,52,52,50,50,53,53,50,50,52,53,50,50,52,53,50,50,53,53,50,50,53,53,50,50,53,53,50,50,53,2,Fairly generous,Ohio,Michigan,Missouri
15,731,Male,35-44,Iowa,Senior (4 years of college),1,High,T1 HC,73,37,88,30,69,27,15,21,86,88,23,91,13,21,69,97,85,91,92,88,20,16,23,0,87,22,73,20,79,97,88,81,28,29,89,67,21,0,96,76,83,88,83,13,88,18,33,87,11,28,89,100,24,86,22,79,17,100,14,14,92,24,81,20,100,68,100,14,86,6,80,14,26,16,86,100,78,23,2,About right,Ohio,Michigan,Missouri
16,325,Male,25-34,Oregon,High School,1,High,T1 HC,62,57,57,42,38,37,65,46,42,59,52,53,55,36,71,56,56,62,63,43,47,57,46,56,56,35,61,58,55,54,62,57,42,43,54,54,56,38,65,53,54,59,71,45,42,59,45,52,45,36,54,58,61,55,71,43,44,60,49,54,52,35,69,58,57,53,67,46,59,56,45,55,52,36,70,59,42,53,2,Inadequate,Ohio,Michigan,Missouri
17,689,Male,25-34,Washington,High School,1,High,T1 HC,66,61,60,26,39,35,82,40,20,40,81,65,30,6,95,75,35,45,86,55,39,66,65,50,36,10,91,57,80,40,85,55,30,60,80,45,45,5,98,57,60,40,91,20,80,53,80,55,30,10,90,80,64,50,85,40,60,55,76,55,46,19,70,53,65,40,91,42,60,52,90,40,60,10,95,40,85,24,0,About right,Ohio,Michigan,Missouri
18,731,Male,25-34,Indiana,Masters,1,High,T1 HC,88,89,94,73,76,70,89,90,78,82,90,88,90,81,90,87,86,86,91,92,81,81,92,78,91,79,92,88,88,84,89,92,82,78,90,81,88,85,92,86,90,80,91,82,91,80,92,88,85,82,92,84,91,82,88,83,91,83,92,86,88,85,92,85,83,87,90,86,90,85,91,82,88,85,92,88,86,84,0,Inadequate,Ohio,Michigan,Missouri
19,411,Female,25-34,West Virginia,Senior (4 years of college),1,High,T1 HC,50,42,80,50,70,26,50,28,43,78,50,57,50,75,51,81,94,69,73,72,11,58,32,27,80,31,71,54,100,65,53,50,46,70,57,71,29,41,98,82,50,69,78,33,32,77,50,50,50,68,50,50,50,71,50,71,16,83,50,18,81,50,83,50,50,50,90,14,74,42,50,60,34,34,86,85,50,76,2,About right,Ohio,Michigan,Missouri
20,627,Female,55-64,California,Senior (4 years of college),1,High,T1 HC,57,100,0,56,100,61,0,0,100,100,0,60,0,100,0,80,0,100,0,0,50,100,0,0,50,100,3,0,50,100,40,0,100,64,0,50,50,100,50,45,48,75,94,50,50,91,0,60,0,91,31,68,9,88,61,77,0,100,0,0,71,89,0,0,60,100,50,50,14,100,36,50,50,60,50,50,50,50,0,Fairly generous,Ohio,Michigan,Missouri
21,644,Female,25-34,Florida,Sophomore (2 years of college),1,High,T1 HC,31,16,94,63,88,37,39,77,86,87,25,59,22,91,39,73,32,93,93,82,37,36,57,15,84,23,85,29,85,97,33,37,78,25,54,66,28,36,68,76,20,59,58,60,37,69,14,41,38,77,30,80,71,75,44,74,31,81,32,25,89,60,82,14,89,76,78,37,77,39,64,85,18,38,93,84,67,68,1,About right,Ohio,Michigan,Missouri
22,722,Male,25-34,California,Masters,1,High,T1 HC,81,86,82,81,88,89,89,77,92,82,92,93,91,83,89,77,81,75,61,77,88,77,92,90,83,86,87,87,76,77,90,81,94,83,73,81,83,82,73,90,89,76,68,89,75,92,89,72,67,83,76,79,85,93,85,78,75,92,80,84,71,93,72,91,87,85,90,76,61,80,87,77,91,74,92,77,77,67,0,About right,Ohio,Michigan,Missouri
23,641,Male,25-34,North Carolina,Senior (4 years of college),1,High,T1 HC,80,44,97,20,56,3,56,18,49,70,49,51,5,51,60,97,68,88,100,91,0,2,40,0,87,1,97,22,98,56,80,7,49,100,64,56,4,1,99,98,35,86,69,48,43,82,47,50,49,52,49,67,85,58,51,55,1,99,48,1,94,1,95,45,96,80,100,1,96,7,49,85,1,1,76,98,38,58,3,About right,Ohio,Michigan,Missouri
24,636,Male,25-34,New York,Sophomore (2 years of college),1,High,T1 HC,37,71,57,16,87,76,82,31,42,32,34,47,28,55,38,44,62,66,73,26,41,65,42,64,40,26,50,41,19,66,45,58,57,34,65,36,36,77,74,40,56,87,42,55,56,30,36,38,46,60,66,34,44,67,42,62,59,37,47,60,63,40,43,40,33,59,32,46,57,65,65,43,26,66,65,63,68,53,2,About right,Ohio,Michigan,Missouri
25,710,Male,55-64,North Carolina,High School,1,High,T1 HC,76,82,66,25,39,36,78,65,83,39,66,4,17,3,94,42,38,34,71,64,81,33,72,13,14,2,86,20,33,42,80,77,15,34,66,6,21,6,91,10,54,30,77,24,61,41,70,19,42,8,94,26,27,28,87,14,63,38,63,43,16,21,95,42,6,32,75,28,54,41,68,30,43,25,93,25,33,36,3,About right,Ohio,Michigan,Missouri
26,669,Female,25-34,Virginia,Senior (4 years of college),1,High,T1 HC,61,73,94,41,31,3,63,54,31,44,63,11,14,10,86,74,80,47,87,60,9,7,72,5,41,4,96,76,69,41,61,39,40,63,69,48,2,6,91,86,72,48,78,44,34,85,71,34,41,16,73,68,81,41,73,43,26,93,69,12,44,11,91,79,81,25,77,14,46,43,70,38,10,9,87,81,71,43,1,Inadequate,Ohio,Michigan,Missouri
27,427,Male,25-34,California,Senior (4 years of college),1,High,T1 HC,37,14,19,67,91,83,19,14,82,79,23,73,53,80,23,50,34,75,19,17,84,83,22,49,42,82,27,50,53,71,19,21,21,89,22,30,50,92,50,49,52,71,27,76,22,82,33,52,50,79,31,50,51,84,25,83,29,83,31,50,50,69,27,50,50,69,32,76,26,76,29,55,50,84,37,50,51,70,1,About right,Ohio,Michigan,Missouri
28,796,Male,35-44,Arizona,Masters,1,High,T1 HC,84,80,89,81,85,76,84,84,86,83,77,77,83,71,74,82,78,76,85,82,85,83,79,85,76,82,75,78,86,79,83,83,82,83,75,75,83,76,77,75,78,76,84,79,80,75,86,76,87,77,78,70,88,70,86,73,87,78,85,82,87,72,85,70,89,82,86,73,87,79,88,85,71,70,88,76,92,70,2,Fairly generous,Ohio,Michigan,Missouri
29,924,Female,25-34,Florida,Senior (4 years of college),1,High,T1 HC,67,73,73,70,62,73,76,77,79,81,62,81,84,65,59,63,69,61,79,86,83,84,84,94,81,66,69,66,74,74,77,80,80,79,84,83,64,79,60,67,77,75,73,72,68,72,72,82,58,63,77,78,71,70,74,75,79,61,64,56,52,62,79,79,78,80,70,63,70,76,87,62,54,63,75,84,71,86,1,Fairly generous,Ohio,Michigan,Missouri
